Date,Apple,Microsoft,Intel,IBM,Facebook,Google
2016-08-15,109.480003,58.119999,34.91,161.880005,123.900002,782.440002
2016-08-16,109.379997,57.439999,35.209999,160.699997,123.300003,777.140015
2016-08-17,109.220001,57.560001,35.02,160.440002,124.370003,779.909973
2016-08-18,109.080002,57.599998,34.970001,161.360001,123.910004,777.5
2016-08-19,109.360001,57.619999,35.240002,160.039993,123.559998,775.419983
2016-08-22,108.510002,57.669998,35.360001,160,124.150002,772.150024
2016-08-23,108.849998,57.889999,35.400002,160.259995,124.370003,772.080017
2016-08-24,108.029999,57.950001,35.150002,159.050003,123.480003,769.640015
2016-08-25,107.57,58.169998,35.09,158.630005,123.889999,769.409973
2016-08-26,106.940002,58.029999,35.259998,158.320007,124.959999,769.539978
2016-08-29,106.82,58.099998,35.549999,159.720001,126.540001,772.150024
2016-08-30,106,57.889999,35.700001,159.399994,125.839996,769.090027
2016-08-31,106.099998,57.459999,35.889999,158.880005,126.120003,767.049988
2016-09-01,106.730003,57.59,36.02,159.539993,126.169998,768.780029
2016-09-02,107.730003,57.669998,36.080002,159.550003,126.510002,771.460022
2016-09-06,107.699997,57.610001,36.57,160.350006,129.729996,780.080017
2016-09-07,108.360001,57.66,36.459999,161.639999,131.050003,780.349976
2016-09-08,105.519997,57.43,36.439999,159,130.270004,775.320007
2016-09-09,103.129997,56.209999,35.439999,155.690002,127.099998,759.659973
2016-09-12,105.440002,57.049999,36.080002,158.289993,128.690002,769.02002
2016-09-13,107.949997,56.529999,35.610001,155.809998,127.209999,759.690002
2016-09-14,111.769997,56.259998,35.619999,154.050003,127.769997,762.48999
2016-09-15,115.57,57.189999,36.560001,155.660004,128.350006,771.76001
2016-09-16,114.919998,57.25,37.669998,153.839996,129.070007,768.880005
2016-09-19,113.580002,56.93,37.16,154.869995,128.649994,765.700012
2016-09-20,113.57,56.810001,37.139999,154.449997,128.639999,771.409973
2016-09-21,113.550003,57.759998,37.450001,155.529999,129.940002,776.219971
2016-09-22,114.620003,57.82,37.549999,156.110001,130.080002,787.210022
2016-09-23,112.709999,57.43,37.189999,154.979996,127.959999,786.900024
2016-09-26,112.879997,56.900002,36.650002,153.979996,127.309998,774.210022
2016-09-27,113.089996,57.950001,37.18,156.770004,128.690002,783.01001
2016-09-28,113.949997,58.029999,37.439999,158.289993,129.229996,781.559998
2016-09-29,112.18,57.400002,37.32,158.110001,128.089996,775.01001
2016-09-30,113.050003,57.599998,37.75,158.850006,128.270004,777.289978
2016-10-03,112.519997,57.419998,37.66,157.610001,128.770004,772.559998
2016-10-04,113,57.240002,37.540001,156.460007,128.190002,776.429993
2016-10-05,113.050003,57.639999,37.990002,157.080002,128.470001,776.469971
2016-10-06,113.889999,57.740002,38.07,156.880005,128.740005,776.859985
2016-10-07,114.059998,57.799999,38.099998,155.669998,128.990005,775.080017
2016-10-10,116.050003,58.040001,38.02,157.020004,130.240005,785.940002
2016-10-11,116.300003,57.189999,37.27,154.789993,128.880005,783.070007
2016-10-12,117.339996,57.110001,37.130001,154.289993,129.050003,786.140015
2016-10-13,116.980003,56.919998,36.970001,153.720001,127.82,778.190002
2016-10-14,117.629997,57.419998,37.450001,154.449997,127.879997,778.530029
2016-10-17,117.550003,57.220001,37.290001,154.770004,127.540001,779.960022
2016-10-18,117.470001,57.66,37.75,150.720001,128.570007,795.26001
2016-10-19,117.120003,57.529999,35.509998,151.259995,130.110001,801.5
